"pl_name","pl_orbper","pl_rade","pl_bmasse","pl_insol","pl_eqt","st_teff","st_mass"
"11 Com b",326.03,NA,6165.6,NA,NA,4742,2.7
"11 Com b",NA,NA,5434.7,NA,NA,NA,2.6
"11 UMi b",516.22,NA,3337.07,NA,NA,4340,1.8
"11 UMi b",NA,NA,3432.4,NA,NA,NA,1.7
"11 UMi b",516.21997,NA,4684.8142,NA,NA,4213,2.78
"14 And b",185.84,NA,1525.5,NA,NA,4813,2.2
"14 And b",NA,NA,1017,NA,NA,NA,1.2
"14 Her b",1796.4,NA,1506.45,NA,NA,5255,0.9
"14 Her b",1766.41,NA,1541.46777,NA,NA,5314.94,0.97
"14 Her b",1766,NA,1581.138,NA,NA,5280,0.91
"14 Her b",1773.40002,NA,1481.0878,NA,NA,5338,0.9
"14 Her b",NA,NA,1440.663,NA,NA,NA,0.9
"14 Her b",1765.03890112,NA,2586.74645,NA,NA,NA,0.91
"14 Her b",1724,NA,1554.12,NA,NA,NA,1
"14 Her b",1773.4,NA,1474.67,NA,NA,NA,NA
"16 Cyg B b",798.5,NA,565.7374,NA,NA,5750,1.08
"16 Cyg B b",799.45,NA,556.83537,NA,NA,5711.97,0.98
"16 Cyg B b",798.5,NA,533.9544,NA,NA,5674,0.99
"16 Cyg B b",800.8,NA,476.7,NA,NA,5760,1
"16 Cyg B b",799.5,NA,533.93,NA,NA,5747,1.03
"16 Cyg B b",799.5,NA,533.93,NA,NA,NA,NA
"17 Sco b",578.38,NA,1373.01872,NA,NA,4157,1.22
"18 Del b",993.3,NA,3273.5,NA,NA,4979,2.3
"18 Del b",NA,NA,3127.3,NA,NA,NA,2.1
"1RXS J160929.1-210524 b",NA,18.647,2543,NA,1800,4060,0.85
"1RXS J160929.1-210524 b",NA,NA,4000,NA,1700,4060,0.85
"1RXS J160929.1-210524 b",NA,NA,3000,NA,1700,4060,0.85
"1RXS J160929.1-210524 b",NA,NA,3000,NA,1800,3993,0.62
"24 Boo b",30.3506,NA,289.2253,NA,NA,4893,0.99
"24 Sex b",452.8,NA,632.46,NA,NA,5098,1.54
"24 Sex c",883,NA,273.32,NA,NA,5098,1.54
"2M0437 b",NA,NA,1271.31363,NA,1450,3100,0.17
"2MASS J01033563-5515561 AB b",NA,NA,4131.79,NA,NA,NA,0.19
"2MASS J01225093-2439505 b",NA,NA,7786.5,NA,NA,3530,0.4
"2MASS J01225093-2439505 b",NA,11.209,NA,NA,1600,3309,0.35
"2MASS J02192210-3925225 b",NA,16.141,4417.837,NA,NA,3064,0.11
"2MASS J04414489+2301513 b",NA,NA,2383.6,NA,NA,NA,0.02
"2MASS J12073346-3932539 b",NA,NA,1589.15,NA,1250,NA,0.02
"2MASS J12073346-3932539 b",NA,NA,1271,NA,1150,2825,0.19
"2MASS J19383260+4603591 b",406,NA,591.16084,NA,NA,29564,0.48
"2MASS J19383260+4603591 b",416,NA,603.877,NA,NA,NA,0.48
"2MASS J22362452+4751425 b",NA,NA,3972.875,NA,NA,4045,0.6
"30 Ari B b",345.4,NA,2097.678,NA,NA,NA,1.16
"30 Ari B b",335.1,NA,3140.03,NA,NA,6300,1.16
"30 Ari B b",335.10001,NA,4392.4106,NA,NA,6331,1.93
"4 UMa b",269.3,NA,2256.5,NA,NA,4415,1.23
"42 Dra b",479.1,NA,1233.13,NA,NA,4200,0.98
"47 UMa b",1076.6,NA,778.6835,NA,NA,5882,1.06
"47 UMa b",1078,NA,804.08,NA,NA,5872,1.06
"47 UMa b",1100.8,NA,877.17,NA,NA,NA,NA
"47 UMa b",1083.2,NA,826.32,NA,NA,NA,NA
"47 UMa b",1076.6,NA,774.86566,NA,NA,5829.16,1.01
"47 UMa c",2391,NA,171.621,NA,NA,5872,1.06
"47 UMa c",7586,NA,425.87,NA,NA,NA,NA
"47 UMa c",2287,NA,157.96072,NA,NA,5829.16,1.01
"47 UMa d",14002,NA,521.22,NA,NA,5872,1.06
"47 UMa d",19000,NA,479.92089,NA,NA,5829.16,1.01
"51 Eri b",NA,NA,635.66,NA,700,NA,1.75
"51 Eri b",11688,NA,NA,NA,NA,7295,1.65
"51 Eri b",14965,NA,NA,NA,NA,7295,1.65
"51 Peg b",4.231,NA,146.2018,NA,NA,NA,1.04
"51 Peg b",4.2307969,NA,147.47238,NA,NA,5760.76,1.07
"51 Peg b",4.23077,NA,148.738,NA,NA,NA,NA
"51 Peg b",4.2293,NA,149.3801,NA,NA,5773,NA
"51 Peg b",4.230785,NA,150.009,NA,NA,5758,1.03
"55 Cnc b",14.653,NA,266.9772,NA,NA,NA,0.95
"55 Cnc b",14.465314,NA,266.966,NA,NA,5250,0.9
"55 Cnc b",14.651,NA,254.25,NA,NA,5250,0.9
"55 Cnc b",14.65152,NA,263.9785,NA,NA,NA,0.95
"55 Cnc b",14.65171,NA,267.29369,NA,NA,5317.89,0.97
"55 Cnc b",14.65162,NA,261.881,NA,NA,5250,0.9
"55 Cnc b",14.65126,NA,260.61,NA,NA,5250,0.9
"55 Cnc b",14.647,NA,289.21,NA,NA,NA,NA
"55 Cnc b",14.67,NA,249.17872,NA,NA,NA,0.95
"55 Cnc b",14.6516,NA,255.4,NA,NA,5172,0.91
"55 Cnc b",14.6,NA,254.25,NA,700,NA,NA
"55 Cnc b",14.648,NA,266.9772,NA,NA,5200,0.85
"55 Cnc c",43.93,NA,68.96911,NA,NA,NA,0.95
"55 Cnc c",44.3989,NA,51.2,NA,NA,5172,0.91
"55 Cnc c",44.38,NA,52.44,NA,NA,5250,0.9
"55 Cnc c",44.373,NA,56.6985,NA,NA,5250,0.9
"55 Cnc c",44.4175,NA,54.4738,NA,NA,NA,0.95
"55 Cnc c",44.3787,NA,52.44,NA,NA,5250,0.9
"55 Cnc c",44.3827,NA,54.34866,NA,NA,5317.89,0.97
"55 Cnc c",44.3446,NA,53.711,NA,NA,5250,0.9
"55 Cnc d",4517.4,NA,1243.35096,NA,NA,NA,0.95
"55 Cnc d",5370,NA,1220.42,NA,NA,5250,0.9
"55 Cnc d",4909,NA,1121.89,NA,NA,5250,0.9
"55 Cnc d",5574.2,NA,991.6,NA,NA,5172,0.91
"55 Cnc d",4820,NA,908.98924,NA,NA,5317.89,0.97
"55 Cnc d",5360,NA,1287.2115,NA,NA,NA,0.95
"55 Cnc d",4867,NA,1226.77,NA,NA,5250,0.9
"55 Cnc d",4545,NA,918.49,NA,NA,NA,NA
"55 Cnc d",4825,NA,1232.493,NA,NA,NA,0.95
"55 Cnc d",5218,NA,1218.827,NA,NA,5250,0.9
"55 Cnc e",0.73654,2,8.63,NA,NA,NA,0.96
"55 Cnc e",0.73654582,1.915,NA,2657.83,1831,5250,NA
"55 Cnc e",0.7365445,NA,9.37594,NA,NA,5317.89,0.97
"55 Cnc e",NA,NA,NA,NA,NA,5250,0.9
"55 Cnc e",NA,1.92,8.08,NA,NA,5250,0.9
"55 Cnc e",0.736539,1.91,8.08,NA,NA,5250,0.9
"55 Cnc e",0.7365474,1.875,7.99,NA,NA,5172,0.91
"55 Cnc e",2.808,NA,14.30235,NA,NA,NA,0.95
"55 Cnc e",0.737,1.897,7.74,NA,NA,5172,0.87
"55 Cnc e",0.7365515,NA,8.13928,NA,NA,NA,0.95
"55 Cnc e",0.7365478,NA,8.09479,NA,NA,5250,0.9
"55 Cnc e",2.79674,NA,7.4687,NA,NA,5250,0.9
"55 Cnc e",0.7365437,2.08,7.81,NA,1958,5234,0.91
"55 Cnc e",0.7365417,NA,NA,NA,NA,NA,NA
"55 Cnc e",0.736546,2.173,8.37,NA,NA,5250,0.9
"55 Cnc f",261.2,NA,54.664,NA,NA,5250,0.9
"55 Cnc f",259.88,NA,47.8,NA,NA,5172,0.91
"55 Cnc f",260.91,NA,47.0051,NA,NA,5250,0.9
"55 Cnc f",262,NA,44.812,NA,NA,NA,0.95
"55 Cnc f",260,NA,45.766,NA,NA,5250,0.9
"55 Cnc f",260.98,NA,46.87969,NA,NA,5317.89,0.97
"55 Cnc f",260.7,NA,44.812,NA,NA,5250,0.9
"6 Lyn b",934.3,NA,638.8383,NA,NA,4938,1.44
"6 Lyn b",874.774,NA,702.4043,NA,NA,NA,1.82
"6 Lyn b",899,NA,762.8,NA,NA,4978,1.7
"61 Vir b",4.21487,NA,5.11704,NA,NA,5585.57,0.91
"61 Vir b",4.215,NA,5.1,NA,NA,5577,0.94
"61 Vir c",38.021,NA,18.2,NA,NA,5577,0.94
"61 Vir c",38.0957,NA,16.1139,NA,NA,5585.57,0.91
"61 Vir d",123.01,NA,22.9,NA,NA,5577,0.94
"7 CMa b",763,NA,826.3,NA,NA,4792,1.52
"7 CMa b",735.1,NA,587.9855,NA,NA,4826,1.34
"7 CMa b",796,NA,781.8618,NA,NA,4794.52,NA
"7 CMa c",996,NA,276.5121,NA,NA,4826,1.34
"70 Vir b",116.6884,NA,2380.45,NA,NA,5545,1.11
"70 Vir b",116.689,NA,2084.88,NA,NA,NA,NA
"70 Vir b",116.6926,NA,2351.942,NA,NA,5439,1.09
"70 Vir b",116.69335,NA,2297.89938,NA,NA,5481.86,1.06
"70 Vir b",116.6884,NA,2421.8646,NA,NA,5531,1.14
"70 Vir b",116.688,NA,2357.02728,NA,NA,5495,1.09
"75 Cet b",691.9,NA,953.49,NA,NA,4846,2.49
"8 UMi b",93.4,NA,476.745,NA,NA,4847.4,1.8
"8 UMi b",93.4,NA,416.3573,NA,NA,4847,1.44
"81 Cet b",NA,NA,1274.4,NA,NA,NA,1.6
