"pl_name","pl_orbper","pl_rade","pl_bmasse","pl_insol","pl_eqt","st_teff","st_mass"
"Earth",365,1,1,1,288,5778,1
"Mars",687,0.532,0.107,0.431,210,5778,1
"Venus",225,0.949,0.815,1.92,737,5778,1
"Jupiter",4333,10.973,318,0.00599,165,5778,1
"Kepler-1638 b",259.3,1.87,4.16,1.39,312,5710,0.97
"Kepler-440 b",101,1.91,4.13,1.44,308,3813,0.57
"GJ 433 d",36.1,2.14,5.22,1.06,292,3600,0.467
"Kepler-1653 b",140.3,2.17,5.34,1.04,291,4771,0.719
"GJ 832 c",35.7,2.19,5.4,0.99,286,3657,0.437
"Kepler-705 b",56.1,2.11,5.09,0.77,269,3593,0.548
"Kepler-296 e",63.3,1.8,3.91,0.44,229,3572,0.454
"Trappist-1 e",6.1,0.92,0.69,0.65,258,2566,0.0898
"Kepler-442 b",112.3,1.35,2.36,0.7,263,4563,0.72
"K2-72 e",24.2,1.29,2.21,1.3,307,3498,0.309
"GJ 1061 d",13,1.15,1.64,0.69,247,3119,0.12
"GJ 1061 c",6.7,1.18,1.74,1.45,311,3119,0.12
"GJ 180 c",24.3,2.41,6.4,0.78,270,3562,0.41
"GJ 163 c",25.6,2.5,6.8,1.25,304,3529,0.42
"Kepler-1540 b",125.4,2.49,6.77,0.78,270,4366,0.676
"Kepler-174 d",247.4,2.19,5.43,0.59,252,4724,0.76
"Kepler-452 b",384.8,1.63,3.31,1.11,295,5578,1.02
"Kepler-62 e",122.3,1.61,4.595,1.15,298,4925,0.72
"Kepler-1652 b",38.1,1.6,3.18,0.84,276,3757,0.404
"Trappist-1 d",4,0.78,0.39,1.12,303,2566,0.0898
"Proxima Centauri b",11.2,1.08,1.27,0.7,257,3175,0.13
"GJ 667 C f",39,1.45,2.54,0.56,249,3650,0.33
"Kepler-62 f",267.3,1.41,4.46,0.41,230,4925,0.72
"Trappist-1 f",9.2,1.04,1.04,0.37,225,2566,0.0898
