"Planet_Name","Orbit_Period","Planet_Radius","Planet_Mass","Stellar_Flux","Temperature","Star_Temperature","Star_Mass","Planet_Density","Escape_Velocity","Gravity","ESI_Custom"
"Earth",365,1,1,1,288,5778,1,5.50937386363636,11.1874746650365,9.82,0.999981059529898
"Venus",225,0.949,0.815,1.92,737,5778,1,5.25365095924679,10.3675887793326,8.88662126735369,0.799558417266413
"Kepler-452 b",384.8,1.63,3.31,1.11,295,5578,1.02,4.21082725188896,15.9423470659018,12.2338815913282,0.794939859709423
"Kepler-442 b",112.3,1.35,2.36,0.7,263,4563,0.72,5.28460999570465,14.791805312371,12.716159122085,0.751275625281509
"Kepler-1638 b",259.3,1.87,4.16,1.39,312,5710,0.97,3.50486064933712,16.6862185253603,11.682118447768,0.745908488306578
"Kepler-1544 b",168.8,1.78,3.81,0.84,276,4820,0.743,3.72192153492823,16.3675829851517,11.8085469006439,0.733541769768886
"Kepler-186 f",129.9,1.17,1.71,0.29,212,3876,0.52,5.88221331046775,13.5249973645265,12.266929651545,0.70591840546126
"Kepler-1606 b",196.4,2.07,4.93,1.64,325,5402,0.921,3.06223225946088,17.2651498361158,11.2984200331396,0.701381967490452
"Kepler-62 e",122.3,1.61,4.595,1.15,298,4925,0.72,6.06610791447043,18.9000035033177,17.4078546352378,0.695676681821437
"Kepler-22 b",289.9,2.38,6.9,1.1,294,5594,0.96,2.81981401006455,19.0488223541217,11.9620789492268,0.691845161482225
"Kepler-174 d",247.4,2.19,5.43,0.59,252,4724,0.76,2.84819506407798,17.6161062970097,11.1179083004942,0.691677179944226
