"Planet_Name","Orbit_Period","Planet_Radius","Planet_Mass","Stellar_Flux","Temperature","Star_Temperature","Star_Mass","Planet_Density","Escape_Velocity","Gravity","ESI_Revised"
"Earth",365,1,1,1,288,5778,1,5.50937386363636,11.1874746650365,9.82,0.999968306531563
"Kepler-452 b",384.8,1.63,3.31,1.11,295,5578,1.02,4.21082725188896,15.9423470659018,12.2338815913282,0.847828573246218
"Kepler-1638 b",259.3,1.87,4.16,1.39,312,5710,0.97,3.50486064933712,16.6862185253603,11.682118447768,0.78075776236624
"Kepler-1544 b",168.8,1.78,3.81,0.84,276,4820,0.743,3.72192153492823,16.3675829851517,11.8085469006439,0.77581914246541
"Kepler-22 b",289.9,2.38,6.9,1.1,294,5594,0.96,2.81981401006455,19.0488223541217,11.9620789492268,0.749054623501239
"Kepler-442 b",112.3,1.35,2.36,0.7,263,4563,0.72,5.28460999570465,14.791805312371,12.716159122085,0.748975221896318
"Kepler-1653 b",140.3,2.17,5.34,1.04,291,4771,0.719,2.87915005459494,17.5498264632754,11.1361039733271,0.721000792688132
"Kepler-283 c",92.7,1.82,3.97,0.84,280,4351,0.69,3.62809447262374,16.5231035360367,11.7695326651371,0.718963253702987
"Kepler-1606 b",196.4,2.07,4.93,1.64,325,5402,0.921,3.06223225946088,17.2651498361158,11.2984200331396,0.715534052955236
"Kepler-443 b",177.7,2.35,6.04,0.89,279,4781,0.75,2.56410376401095,17.9356286315426,10.7402082390222,0.713398075204081
"Kepler-1701 b",169.1,2.22,5.56,1.42,314,5146,0.87,2.79974264639166,17.7048794230921,11.0784838892947,0.710867966351989
